alias,hardware_type,processor_id,configuration,hw_code,hw_make,hw_model
LRC Rectifier Sys B Battery-3,battery,0000000078a332bc,huawei_snmp,battery-595--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-4,battery,0000000078a332bc,huawei_snmp,battery-596--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-5,battery,0000000078a332bc,huawei_snmp,battery-597--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-6,battery,0000000078a332bc,huawei_snmp,battery-598--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-7,battery,0000000078a332bc,huawei_snmp,battery-599--0000000078a332bc,Huawei,SMU02B
LRC Rectifier Sys B Battery-8,battery,0000000078a332bc,huawei_snmp,battery-600--0000000078a332bc,Huawei,SMU02B
Airflow Under Floor,env_sensor,0000000078a332bc,temco_environement,env_sensor-601--0000000078a332bc,,
M-324 Supply Air - Air Flow,env_sensor,0000000078a332bc,temco_environement,env_sensor-602--0000000078a332bc,,
M-324 Return Air -1 Air Flow,env_sensor,0000000078a332bc,temco_environement,env_sensor-603--0000000078a332bc,,
M-324 Return Air - 2 Air Flow,env_sensor,0000000078a332bc,temco_environement,env_sensor-604--0000000078a332bc,,
PACU M-324 ACU Temperatures,env_sensor,0000000078a332bc,temco_environement,env_sensor-609--0000000078a332bc,,
NFVI Room Humidity,io,0000000078a332bc,humidity,io-610--0000000078a332bc,PLC,PLC101
NFVI Room Temperature,io,0000000078a332bc,shelter_1_temperature,io-611--0000000078a332bc,PLC,PLC101
